Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
862,IND,2,2,0,0,38,20,0,0,0,0,0,0,0,0,0,0,0,India,0,0,SS Naik
863,ENG,2,2,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,England,0,0,JWA Taylor
864,IND,36,23,0,9,290,33*,0,0,2,0,0,0,0,0,0,15,15,India,0,0,CS Pandit
865,ENG,1,1,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,England,0,0,MR Benson
866,ENG,3,2,0,0,11,6,0,0,0,0,0,0,0,0,0,2,0,England,0,0,GW Humpage
867,IND,4,4,0,1,54,27,0,0,0,0,0,0,0,0,0,2,0,India,0,0,JV Paranjpe
868,ENG,8,3,8,2,17,8*,0,0,0,3,226,7,3\32,0,0,2,0,England,386,55.1,P Lever
869,IND,10,10,0,1,165,42,0,0,0,0,0,0,0,0,0,4,0,India,0,0,GAHM Parkar
870,ENG,2,2,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,England,0,0,CM Wells
871,IND,10,9,0,1,243,82,0,1,0,0,0,0,0,0,0,1,0,India,0,0,BP Patel
872,ENG,4,3,4,1,20,18,0,0,1,4,122,2,2\12,0,0,1,0,England,168,84,AP Igglesden
873,IND,17,11,0,2,131,63,0,1,2,0,0,0,0,0,0,14,7,India,0,0,MSK Prasad
874,IND,2,2,0,0,13,13,0,0,1,0,0,0,0,0,0,0,0,India,0,0,CA Pujara
875,ENG,12,5,12,3,19,9,0,0,1,9,380,15,4\24,1,0,1,0,England,530,35.3,AG Wharf
876,IND,7,7,0,0,193,54,0,2,0,0,0,0,0,0,0,4,0,India,0,0,V Rathour
877,IND,12,8,0,1,90,30,0,0,0,0,0,0,0,0,0,11,5,India,0,0,A Ratra
878,IND,3,2,0,2,11,8*,0,0,0,0,0,0,0,0,0,2,0,India,0,0,B Reddy
